"Dataset"
""
"Column1 Column2 Column3Column4 Column5 Column6"
"10 13 16 39 51 52"
"01 02 07 11 13 25"
"05 12 16 37 41 53"
"02 13 32 38 52 57"
"09 18 34 37 43 50"
"11 23 24 28 30 31"
"05 21 37 43 45 55"
"15 30 35 37 38 56"
"04 08 21 38 49 51"
"01 02 30 38 49 55"
"06 19 24 37 45 56"
"04 07 08 15 30 41"
"32 47 49 52 58 59"
"02 22 24 27 29 32"
"02 07 16 50 56 57"
"03 05 13 16 29 37"
"02 14 28 29 49 50"
"02 04 06 16 23 32"
"05 16 22 24 26 54"
"02 17 21 47 55 58"
"19 25 40 45 51 57"
"05 09 21 25 35 42"
"05 33 36 39 40 57"
"21 25 31 43 45 54"
"13 14 16 21 24 39"
"06 09 12 16 29 57"
"09 10 13 35 36 55"
"02 14 18 37 38 56"
"19 20 21 23 27 37"
"03 11 24 36 40 56"
"04 13 19 22 24 32"
"07 10 20 23 39 52"
"05 18 19 20 30 45"
"05 27 29 44 53 57"
"04 38 45 46 48 59"
"04 15 32 39 41 57"
"05 18 24 27 39 46"
"10 22 36 37 39 55"
"09 12 24 28 30 41"
"18 36 39 57 58 59"
"11 12 15 19 37 51"
"07 13 15 19 27 58"
"01 08 22 24 44 46"
"07 13 18 22 38 47"
"23 25 39 47 51 52"
"02 24 28 38 45 59"
"03 06 22 41 43 50"
"02 17 23 34 49 50"
"37 41 43 47 50 56"
"02 11 27 28 40 50"
"01 07 17 38 44 54"
"01 42 48 50 52 59"
"02 06 16 33 35 52"
"06 22 28 32 36 49"
"07 12 27 31 35 50"
"08 33 38 40 42 53"
"16 27 36 40 41 55"
"08 16 18 36 54 59"
"09 30 32 51 55 57"
"01 04 16 26 35 48"
"12 28 30 40 43 52"
"42 45 47 49 52 56"
"12 19 30 31 47 57"
"10 29 33 51 58 59"
"04 11 14 30 32 50"
"02 35 36 37 43 49"
"06 10 22 38 55 58"
"03 13 16 25 32 42"
"10 21 25 35 40 45"
"02 11 23 25 44 57"
"02 10 17 18 21 41"
"22 24 33 34 43 49"
"07 13 18 30 41 53"
"07 17 23 29 48 57"
"20 22 27 37 42 56"
"03 15 18 19 37 56"
"24 25 33 51 52 59"
"02 10 17 24 26 39"
"08 15 20 27 38 53"
"03 10 23 25 56 59"
"09 12 26 36 41 53"
"02 26 29 33 34 37"
"07 19 20 27 31 59"
"13 20 23 40 41 48"
"01 12 13 16 17 49"
"04 11 30 32 38 55"
"04 14 21 30 38 52"
"10 26 39 46 48 58"
"03 10 13 45 46 58"
"08 12 27 41 45 47"
"05 14 31 38 48 56"
"23 25 31 50 51 54"
"20 22 24 25 29 51"
"15 17 26 29 31 54"
"11 18 19 29 45 46"
"01 05 22 23 45 49"
"05 17 30 35 41 56"
"05 08 30 44 51 55"
"01 11 17 27 49 58"
"16 25 26 39 43 48"
"03 13 18 31 38 57"
"05 07 08 32 41 50"
"12 18 24 27 51 53"
"01 05 16 17 21 23"
"11 12 17 25 44 50"
"01 16 24 40 56 59"
"04 31 33 38 49 54"
"14 30 35 38 47 51"
"05 06 17 18 19 35"
"34 42 48 51 56 59"
"12 19 22 34 50 56"
"17 28 29 32 37 40"
"01 11 21 38 39 52"
"19 20 37 41 47 55"
"08 32 43 46 52 58"
"13 15 36 46 53 57"
"08 16 21 31 43 51"
"01 08 16 29 39 51"
"14 16 17 21 35 58"
"13 18 29 32 39 47"
"07 08 16 28 43 53"
"11 13 32 34 46 53"
"11 29 33 41 42 45"
"04 09 15 42 48 58"
"12 15 19 24 34 57"
"06 07 08 10 37 46"
"14 16 46 47 53 55"
"08 18 27 29 37 43"
"03 07 16 18 27 59"
"08 15 17 32 36 47"
"03 20 23 36 45 57"
"10 13 14 15 27 56"
"03 08 15 33 34 37"
"14 20 21 41 43 58"
"11 26 35 39 44 52"
"13 21 33 34 38 53"
"16 27 28 36 45 56"
"13 22 28 33 42 59"
"06 09 15 16 43 53"
"16 24 44 53 55 59"
"16 20 27 44 49 55"
"05 10 14 20 23 28"
"20 23 25 39 40 46"
"05 13 25 27 56 58"
"10 21 24 49 52 55"
"10 15 20 29 31 49"
"13 18 22 34 51 58"
"09 10 27 28 35 41"
"23 27 30 36 50 57"
"20 25 26 29 38 39"
"01 02 08 30 42 45"
"07 12 32 36 52 53"
"14 15 17 33 37 49"
"04 10 32 49 50 58"
"15 18 25 28 41 47"
"14 16 17 28 37 56"
"02 07 08 20 23 57"
"02 14 19 38 41 53"
"01 02 10 21 40 57"
"01 12 23 29 49 59"
"19 23 30 38 49 58"
"03 09 14 16 21 25"
"17 19 21 24 36 47"
"06 22 30 33 38 50"
"05 22 26 30 43 50"
"04 30 37 51 54 56"
"03 04 18 26 39 40"
"04 06 07 12 30 40"
"12 13 14 32 47 48"
"23 30 34 35 47 57"
"01 02 23 27 38 49"
"02 25 26 40 43 58"
"05 14 19 28 50 53"
"11 13 14 27 28 46"
"04 10 11 20 41 49"
"04 11 24 39 40 59"
"31 50 52 53 54 59"
"16 27 44 52 54 57"
"30 34 46 47 56 58"
"02 20 33 50 56 58"
"04 06 07 27 56 59"
"21 32 34 37 43 44"
"05 21 31 45 49 54"
"01 12 23 28 29 57"
"02 11 14 20 23 29"
"01 07 08 14 27 29"
"01 03 07 11 22 37"
"03 04 10 30 31 45"
"13 21 25 41 46 59"
"06 24 25 43 45 55"
"03 18 25 28 31 46"
"16 29 30 35 37 47"
"01 32 38 42 45 53"
"10 11 19 32 46 58"
"08 10 17 20 31 52"
"27 29 32 44 49 58"
"01 06 19 39 49 57"
"02 39 40 43 53 57"
"29 34 36 40 47 54"
"20 22 28 30 51 54"
"07 16 25 33 35 49"
"15 17 20 29 38 42"
"05 27 40 46 49 50"
"05 19 28 31 32 52"
"14 15 22 30 35 48"
"08 26 34 41 44 48"
"15 25 29 54 57 59"
"02 06 07 20 24 43"
"04 05 18 35 51 52"
"09 30 32 46 49 53"
"01 04 07 14 23 52"
"01 10 20 29 48 57"
"13 17 20 26 32 33"
"13 21 25 36 39 56"
"11 15 18 31 42 58"
"18 23 24 31 40 58"
"10 26 35 38 41 51"
"08 19 32 38 43 47"
"02 10 11 13 18 36"
"11 19 20 23 53 54"
"04 16 28 34 40 45"
"14 21 22 24 26 51"
"05 30 37 44 49 54"
"08 23 30 47 48 57"
"10 27 31 36 49 56"
"02 11 13 29 42 59"
"07 10 12 27 40 45"
"04 33 40 47 49 50"
"28 44 45 52 56 57"
"23 26 42 52 54 55"
"04 13 16 29 44 51"
"15 24 44 52 54 57"
"16 30 34 43 46 50"
"02 04 11 45 48 58"
"02 29 31 35 39 48"
"01 10 37 49 53 57"
"09 13 20 36 58 59"
"01 07 16 21 43 45"
"01 09 14 21 56 57"
"15 22 44 47 49 52"
"07 13 16 29 33 56"
"19 20 34 40 46 49"
"05 16 37 49 55 57"
"10 30 32 37 38 54"
"06 18 34 40 47 51"
"33 41 45 50 54 56"
"27 36 40 43 45 53"
"06 09 31 36 43 49"
"03 06 12 17 24 52"
"03 11 36 44 47 48"
"03 10 18 32 42 44"
"07 31 35 42 43 50"
"05 15 19 21 37 57"
"10 16 18 30 49 50"
"09 10 15 24 25 57"
"15 22 24 30 50 59"
"08 10 17 19 34 47"
"10 35 36 42 54 55"
"08 11 15 32 47 58"
"11 13 19 37 50 55"
"19 20 24 42 44 56"
"08 13 25 38 41 48"
"14 19 20 23 55 57"
"11 14 22 29 36 46"
"03 04 10 20 34 46"
"21 43 44 45 53 55"
"04 06 35 46 47 54"
"15 24 31 44 51 59"
"02 19 21 27 36 54"
"10 13 17 39 52 58"
"08 22 23 26 39 58"
"13 28 38 41 42 51"
"06 25 33 36 55 57"
"01 03 09 33 35 52"
"02 06 10 17 23 44"
"11 16 21 22 34 43"
"06 17 31 49 52 53"
"07 09 20 29 36 56"
"01 13 27 30 49 58"
"12 17 21 29 48 56"
"05 09 11 30 41 57"
"06 15 51 54 55 59"
"03 10 12 25 36 47"
"02 07 18 28 33 56"
"03 05 09 11 29 47"
"25 27 42 45 56 58"
"08 26 28 48 50 57"
"19 28 38 48 52 53"
"14 19 31 43 53 58"
"05 07 12 14 19 27"
"01 10 25 29 53 58"
"10 16 21 30 31 56"
"19 26 30 37 40 41"
"23 46 50 52 56 59"
"10 17 22 37 39 49"
"24 27 46 54 55 56"
"10 17 34 35 38 45"
"04 22 27 36 49 55"
"10 17 20 26 33 53"
"13 18 23 46 47 54"
"06 08 13 30 36 58"
"01 33 41 42 43 56"
"21 29 32 37 38 55"
"02 04 17 44 46 58"
"01 22 24 27 37 51"
"06 08 19 32 33 44"
"15 27 29 49 50 56"
"12 18 25 28 32 51"
"01 19 29 36 45 56"
"20 33 34 39 40 53"
"06 11 14 33 44 52"
"04 19 31 34 39 51"
"33 42 46 48 50 55"
"06 10 35 44 49 53"
"11 12 32 41 43 59"
"03 12 29 38 51 59"
"06 15 18 34 42 58"
"01 14 15 33 38 49"
"08 09 16 46 53 54"
"05 23 26 34 49 58"
"07 11 18 39 42 43"
"19 34 37 39 54 59"
"03 04 20 28 31 49"
"04 09 13 15 53 57"
"02 08 09 48 57 59"
"06 18 22 25 54 57"
"02 07 38 41 45 59"
"05 24 28 42 44 57"
"10 29 32 33 34 36"
"06 15 32 33 42 49"
"10 16 36 38 42 55"
"09 15 17 37 52 53"
"05 21 23 29 36 44"
"01 15 36 41 44 50"
"07 11 17 25 41 54"
"03 04 22 26 37 38"
"08 10 17 18 30 46"
"07 26 37 47 48 49"
"06 10 16 30 33 55"
"13 14 28 50 51 56"
"13 14 23 31 35 41"
"07 10 31 32 34 42"
"24 28 39 42 48 52"
"14 21 24 37 45 46"
"14 21 36 38 42 56"
"19 24 25 29 36 38"
"01 14 19 20 29 38"
"03 04 10 16 27 44"
"14 30 39 51 52 53"
"18 31 32 40 43 53"
"01 08 10 24 32 36"
"03 04 05 26 36 48"
"31 34 35 47 48 56"
"04 19 20 28 56 58"
"04 09 16 32 42 44"
"04 05 12 43 44 59"
"23 31 38 46 48 49"
"24 29 39 47 52 53"
"01 12 19 31 41 47"
"07 10 12 40 49 58"
"06 15 21 37 55 59"
"02 07 09 11 40 54"
"13 15 27 30 46 51"
"08 14 18 26 33 38"
"09 22 32 45 54 59"
"03 17 21 23 27 43"
"01 13 29 38 46 59"
"07 24 27 38 55 58"
"04 10 21 28 30 43"
"08 18 21 23 29 56"
"01 09 14 22 24 25"
"02 09 10 35 58 59"
"19 31 44 47 48 55"
"08 20 37 51 53 59"
"02 11 29 30 43 44"
"01 05 06 07 16 48"
"07 24 36 46 52 55"
"08 11 34 41 50 54"
"25 31 34 42 49 53"
"01 02 33 38 48 55"
"07 16 25 39 47 51"
"03 12 27 40 48 57"
"02 18 21 39 53 58"
"02 07 20 23 26 47"
"05 07 19 25 26 47"
"14 21 22 27 44 48"
"12 15 30 32 51 58"
"04 07 19 34 36 59"
"09 12 14 21 44 55"
"04 08 24 26 38 43"
"04 05 27 31 43 47"
"27 31 37 48 49 54"
"02 03 14 20 29 37"
"06 15 25 28 36 49"
"12 42 46 51 53 57"
"14 23 24 50 56 58"
"03 14 20 21 24 34"
"17 21 22 32 37 41"
"05 06 14 37 47 52"
"08 18 28 31 36 54"
"01 10 13 23 31 32"
"06 12 15 24 31 42"
"15 22 24 42 50 53"
"06 18 36 54 55 57"
"18 21 23 46 54 59"
"06 16 17 26 29 48"
"04 26 31 38 39 49"
"03 07 14 28 49 54"
"08 19 50 51 52 55"
"08 09 24 27 36 37"
"31 33 48 52 55 59"
"02 28 37 43 46 49"
"02 10 16 17 47 58"
"02 03 18 30 52 53"
"12 20 35 39 50 53"
"04 07 31 39 47 51"
"06 09 16 20 26 41"
"04 21 31 34 43 44"
"18 25 43 51 52 56"
"34 36 38 40 41 55"
"07 18 19 33 36 57"
"04 06 08 12 15 55"
"01 04 27 40 44 58"
"11 15 29 38 52 54"
"17 20 21 43 46 52"
"05 08 11 14 32 36"
"06 10 15 50 52 56"
"12 18 22 36 41 48"
"10 20 33 40 54 56"
"16 25 29 32 50 59"
"02 04 39 46 51 58"
"03 10 17 36 50 57"
"03 09 12 23 36 53"
"24 26 33 35 37 52"
"20 30 39 45 46 53"
"01 22 36 44 49 59"
"20 24 27 34 35 59"
"06 18 19 21 23 51"
"38 40 43 48 58 59"
"02 10 40 43 48 52"
"05 21 30 48 56 57"
"17 21 31 33 46 53"
"28 33 38 45 54 57"
"22 23 34 36 49 55"
"02 16 18 27 29 35"
"02 08 16 22 45 46"
"28 37 40 41 48 59"
"01 20 22 24 34 39"
"08 12 33 34 38 42"
"05 12 16 28 33 42"
"02 26 30 31 38 59"
"01 11 24 37 44 50"
"05 06 12 20 50 54"
"02 03 21 23 35 57"
"01 10 14 17 46 56"
"09 24 34 35 57 58"
"17 26 30 37 47 50"
"05 15 26 39 45 49"
"03 16 19 25 28 43"
"18 24 37 50 58 59"
"15 30 40 42 56 59"
"11 27 41 51 52 53"
"05 13 26 28 42 51"
"07 18 39 42 44 58"
"04 07 08 09 41 58"
"01 05 08 43 50 51"
"12 15 20 26 39 58"
"15 24 30 37 44 59"
"10 12 29 41 48 57"
"04 18 19 24 31 42"
"09 13 35 41 42 51"
"11 27 29 35 45 59"
"01 02 15 17 27 56"
"08 15 19 49 52 57"
"25 28 33 36 37 59"
"11 20 28 43 57 59"
"13 18 19 27 47 59"
"15 29 37 38 40 53"
"03 14 15 25 34 35"
"01 15 19 50 52 53"
"12 31 38 48 49 54"
"11 14 46 48 57 59"
"12 24 27 30 40 53"
"02 36 42 53 54 55"
"25 28 29 47 51 58"
"11 16 29 43 55 57"
"09 20 24 31 32 53"
"05 27 28 33 40 43"
"17 28 34 38 41 52"
"04 10 18 35 41 49"
"14 16 26 47 52 55"
"04 07 19 24 30 45"
"18 27 31 35 36 45"
"08 30 32 35 45 56"
"02 15 20 53 54 58"
"16 19 34 42 44 57"
"09 15 21 35 49 56"
"14 17 22 49 57 59"
"03 04 16 20 25 49"
"02 03 16 27 32 34"
"11 20 21 30 44 55"
"10 31 41 44 51 58"
"09 10 20 28 32 37"
"17 28 31 33 42 55"
"02 18 27 29 37 59"
"01 25 36 40 56 57"
"03 17 27 28 41 44"
"12 18 19 41 54 56"
"03 38 41 56 57 59"
"03 16 27 36 48 57"
"01 26 40 42 47 55"
"19 36 48 51 52 54"
"02 16 17 38 41 42"
"04 09 21 25 37 39"
"08 27 38 39 42 48"
"07 08 13 16 37 41"
"09 19 20 21 45 47"
"10 27 28 29 51 56"
"05 12 23 27 30 56"
"18 19 31 33 40 46"
"02 05 10 23 31 53"
"19 23 32 35 38 56"
"05 18 36 37 41 57"
"04 19 25 39 54 55"
"15 22 23 50 51 57"
"17 26 27 36 40 50"
"02 10 13 23 31 46"
"15 40 49 53 56 57"
"11 14 22 40 43 46"
"03 08 09 16 21 53"
"02 04 21 34 37 48"
"04 06 10 28 30 53"
"07 25 26 29 37 43"
"17 25 32 33 38 44"
"03 26 32 42 43 49"
"02 07 18 23 37 48"
"02 06 11 19 35 42"
"13 25 40 41 42 44"
"02 29 51 54 55 57"
"07 20 22 24 46 54"
"02 06 16 37 53 54"
"04 24 41 42 49 51"
"10 15 24 44 45 55"
"05 08 22 31 36 50"
"30 46 47 48 56 59"
"07 11 29 43 56 59"
"01 02 04 40 55 59"
"07 11 22 28 41 55"
"08 20 29 30 31 47"
"02 12 35 39 43 49"
"07 09 19 37 48 50"
"01 09 18 33 45 57"
"08 21 44 49 53 59"
"01 02 36 49 57 59"
"06 11 17 25 28 54"
"04 21 29 30 31 32"
"02 03 26 40 41 55"
"05 14 15 16 31 52"
"02 14 21 23 38 44"
"04 09 28 37 43 48"
"07 14 31 48 54 57"
"28 35 37 39 53 54"
"06 22 30 35 55 59"
"02 15 20 26 43 44"
"04 06 31 45 51 59"
"17 22 34 43 44 58"
"12 19 33 35 46 47"
"05 09 19 29 38 40"
"15 41 50 53 55 58"
"06 12 30 48 54 55"
"02 04 14 17 25 49"
"06 16 24 25 37 38"
"03 06 29 37 53 56"
"23 43 52 54 57 58"
"03 16 43 49 50 54"
"27 32 40 49 50 54"
"07 24 37 40 50 56"
"17 23 52 53 55 58"
"06 11 15 20 25 27"
"02 28 35 45 49 54"
"02 14 19 54 56 58"
"23 33 39 49 53 57"
"17 39 44 48 55 59"
"03 08 14 17 37 53"
"12 25 32 33 47 55"
"09 23 34 37 52 56"
"10 25 30 31 36 58"
"12 13 27 54 55 56"
"05 19 26 41 44 50"
"05 12 14 42 52 55"
"19 32 33 34 44 54"
"03 23 29 31 42 53"
"19 21 22 28 41 42"
"07 15 20 25 34 59"
"11 23 28 37 40 41"
"15 22 27 34 49 57"
"04 06 17 20 34 43"
"17 24 27 29 31 49"
"07 21 24 33 41 45"
"18 19 21 30 54 56"
"20 32 40 46 52 54"
"30 32 35 40 50 58"
"06 14 18 23 31 37"
"10 14 29 30 33 37"
"09 16 18 34 45 51"
"04 19 27 36 46 50"
"05 08 13 19 28 53"
"22 23 31 33 46 52"
"09 12 29 30 43 59"
"07 17 30 34 47 58"
"05 08 16 26 34 49"
"13 14 24 35 36 50"
"12 20 22 26 37 59"
"04 26 33 35 54 55"
"01 04 07 23 43 54"
"03 23 31 46 53 55"
"40 41 51 52 53 56"
"09 24 34 40 47 59"
"05 21 24 31 32 55"
"09 28 31 45 49 50"
"04 29 30 34 46 54"
"04 07 12 17 26 55"
"02 10 38 50 53 57"
"04 15 24 33 37 58"
"14 15 21 23 41 50"
"01 04 16 25 29 56"
"05 20 25 44 50 53"
"07 18 39 43 45 46"
"08 20 27 32 36 54"
"01 03 20 27 30 49"
"13 22 27 29 30 40"
"01 17 21 33 44 45"
"03 13 20 25 31 39"
"03 09 18 46 47 55"
"05 07 08 13 25 28"
"04 25 26 34 40 46"
"15 17 21 38 40 42"
"09 26 28 34 36 57"
"01 03 10 24 35 56"
"15 23 28 34 45 53"
"06 23 27 45 47 49"
"01 08 14 33 48 59"
"01 13 14 20 41 45"
"02 03 18 35 56 58"
"03 09 29 49 51 54"
"11 31 44 45 48 53"
"05 14 27 32 33 46"
"09 13 16 23 35 58"
"12 13 16 49 50 59"
"18 22 29 37 43 52"
"10 19 29 30 33 56"
"03 16 25 40 44 50"
"16 21 40 41 44 49"
"04 48 51 52 54 57"
"06 23 25 39 42 53"
"16 24 25 28 51 52"
"18 19 32 38 49 54"
"10 18 30 44 50 56"
"08 09 19 34 39 43"
"12 42 49 53 54 59"
"07 13 18 19 38 51"
"06 16 22 25 31 56"
"06 09 10 18 25 42"
"13 25 32 47 52 57"
"02 21 25 26 40 57"
"12 22 28 30 48 59"
"21 23 25 28 46 59"
"05 11 15 23 26 42"
"09 21 24 26 50 54"
"10 13 40 44 51 55"
"18 22 41 45 49 56"
"14 26 30 35 50 56"
"02 17 25 36 40 46"
"01 08 17 18 24 42"
"01 12 17 28 46 47"
"02 09 29 40 55 57"
"01 28 29 31 55 58"
"01 04 13 15 30 33"
"07 43 48 54 58 59"
"16 21 32 33 35 57"
"04 08 13 30 36 58"
"12 13 21 50 56 58"
"05 17 18 32 37 56"
"04 05 13 21 53 57"
"16 22 31 37 48 52"
"03 09 26 34 48 59"
"17 23 24"
""
